epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,batch_size,epoch_time,eval_time,memory_allocated,memory_reserved,gradient_diversity
70,0.02559933878481388,99.754,0.010254717952013015,"tensor(69.6100, device='cuda:0')",0.020000000000000004,2048,0,2.2445054054260254,147.67,39058.0,1.8493
71,0.02366868279874325,99.768,0.010280940049886703,"tensor(69.5900, device='cuda:0')",0.020000000000000004,2048,0,2.2327399253845215,147.67,39058.0,0.0
72,0.023582309260964395,99.778,0.0102363638818264,"tensor(69.6800, device='cuda:0')",0.020000000000000004,2048,0,2.2447731494903564,147.67,39058.0,0.0
73,0.02207644149661064,99.82,0.010273173475265502,"tensor(69.5500, device='cuda:0')",0.020000000000000004,2048,0,2.2795305252075195,147.67,39058.0,0.0
74,0.022089670822024347,99.816,0.010189688515663146,"tensor(69.8100, device='cuda:0')",0.020000000000000004,2048,0,2.2354438304901123,147.67,39058.0,0.0
75,0.021225154623389243,99.824,0.010290766203403473,"tensor(69.7200, device='cuda:0')",0.020000000000000004,2048,0,2.239748954772949,147.67,39058.0,0.0
76,0.0212114717066288,99.828,0.01027792734503746,"tensor(69.8100, device='cuda:0')",0.020000000000000004,2048,0,2.2540903091430664,147.67,39058.0,0.0
77,0.020314115509390832,99.866,0.010240932965278626,"tensor(69.8300, device='cuda:0')",0.020000000000000004,2048,0,2.2670412063598633,147.67,39058.0,0.0
78,0.019976687654852866,99.838,0.010305015796422958,"tensor(69.8400, device='cuda:0')",0.020000000000000004,2048,0,2.2374348640441895,147.67,39058.0,0.0
79,0.02027747742831707,99.822,0.010204643714427948,"tensor(69.9100, device='cuda:0')",0.020000000000000004,2048,0,2.2237370014190674,147.67,39058.0,0.0
80,0.01967067554593086,99.842,0.010215800243616104,"tensor(69.6900, device='cuda:0')",0.020000000000000004,2048,0,2.2202298641204834,147.67,39058.0,1.9825
81,0.018984749838709833,99.862,0.010112323290109634,"tensor(69.7200, device='cuda:0')",0.020000000000000004,2048,0,2.2517812252044678,147.67,39058.0,0.0
82,0.018422829210758208,99.864,0.010128454607725143,"tensor(69.7400, device='cuda:0')",0.020000000000000004,2048,0,2.2354555130004883,147.67,39058.0,0.0
83,0.019066474363207818,99.848,0.010254801434278487,"tensor(69.7300, device='cuda:0')",0.020000000000000004,2048,0,2.2350213527679443,147.67,39058.0,0.0
84,0.019050275161862373,99.854,0.01015315153002739,"tensor(69.8500, device='cuda:0')",0.020000000000000004,2048,0,2.2227869033813477,147.67,39058.0,0.0
85,0.018270463645458222,99.878,0.010124072688817978,"tensor(69.8200, device='cuda:0')",0.020000000000000004,2048,0,2.262723445892334,147.67,39058.0,0.0
86,0.01809301905333996,99.856,0.010146580570936203,"tensor(69.7800, device='cuda:0')",0.020000000000000004,2048,0,2.241424798965454,147.67,39058.0,0.0
87,0.018102152682840825,99.874,0.010079663881659508,"tensor(69.6000, device='cuda:0')",0.020000000000000004,2048,0,2.249979019165039,147.67,39058.0,0.0
88,0.017774158678948878,99.886,0.010063853216171264,"tensor(69.7300, device='cuda:0')",0.020000000000000004,2048,0,2.248443603515625,147.67,39058.0,0.0
89,0.017282251641154288,99.886,0.010118058198690414,"tensor(69.9500, device='cuda:0')",0.020000000000000004,2048,0,2.349550247192383,147.67,39058.0,0.0
90,0.017922125831246374,99.866,0.010010527729988098,"tensor(69.9500, device='cuda:0')",0.020000000000000004,2048,0,2.2337284088134766,147.67,39058.0,1.8829
91,0.017513554356992245,99.878,0.010093719577789307,"tensor(69.7200, device='cuda:0')",0.020000000000000004,2048,0,2.2454335689544678,147.67,39058.0,0.0
92,0.017488902807235716,99.878,0.010028625494241715,"tensor(70.1200, device='cuda:0')",0.020000000000000004,2048,0,2.361801862716675,147.67,39058.0,0.0
93,0.017097503989934922,99.88,0.010043369656801224,"tensor(69.7900, device='cuda:0')",0.020000000000000004,2048,0,2.2313642501831055,147.67,39058.0,0.0
94,0.017073033079504966,99.864,0.010001458895206452,"tensor(70.1600, device='cuda:0')",0.020000000000000004,2048,0,2.3763234615325928,147.67,39058.0,0.0
95,0.016447675041854383,99.908,0.010002297151088715,"tensor(69.8200, device='cuda:0')",0.020000000000000004,2048,0,2.239877700805664,147.67,39058.0,0.0
96,0.016391644030809404,99.894,0.009982574164867402,"tensor(70.1200, device='cuda:0')",0.020000000000000004,2048,0,2.2480268478393555,147.67,39058.0,0.0
97,0.016192133240401745,99.89,0.01000483289361,"tensor(69.9100, device='cuda:0')",0.020000000000000004,2048,0,2.2451679706573486,147.67,39058.0,0.0
98,0.01602818738669157,99.898,0.009999729019403457,"tensor(69.8100, device='cuda:0')",0.020000000000000004,2048,0,2.2468032836914062,147.67,39058.0,0.0
99,0.01618889007717371,99.898,0.010023345017433167,"tensor(69.7300, device='cuda:0')",0.020000000000000004,2048,0,2.239496946334839,147.67,39058.0,0.0
